loop,x,y
0,-18.9593,-5.2118
0,-18.8593,-5.3118
0,-18.7593,-5.4118
0,-18.6593,-5.5118
0,-18.5593,-5.6118
0,-18.4593,-5.7118
0,-18.3593,-5.8118
0,-18.2593,-5.9118
0,-18.1593,-6.0118
0,-18.0593,-6.1118
0,-17.9593,-6.2118
0,-17.8593,-6.3118
0,-17.7593,-6.4118
0,-17.6593,-6.5118
0,-17.5593,-6.6118
0,-17.4593,-6.7118
0,-17.2593,-6.7118
0,-17.1593,-6.8118
0,-17.0593,-6.9118
0,-16.9593,-7.0118
0,-16.8593,-7.1118
0,-16.7593,-7.2118
0,-16.6593,-7.3118
0,-16.4593,-7.3118
0,-16.3593,-7.4118
0,-16.2593,-7.5118
0,-16.1593,-7.6118
0,-16.0593,-7.7118
0,-15.8593,-7.7118
0,-15.7593,-7.8118
0,-15.6593,-7.9118
0,-15.5593,-8.0118
0,-15.4593,-8.1118
0,-15.2593,-8.1118
0,-15.1593,-8.2118
0,-15.0593,-8.3118
0,-14.8593,-8.3118
0,-14.6593,-8.3118
0,-14.5593,-8.4118
0,-14.4593,-8.5118
0,-14.2593,-8.5118
0,-14.1593,-8.6118
0,-14.0593,-8.7118
0,-13.8593,-8.7118
0,-13.6593,-8.7118
0,-13.5593,-8.8118
0,-13.4593,-8.9118
0,-13.2593,-8.9118
0,-13.0593,-8.9118
0,-12.9593,-9.0118
0,-12.8593,-9.1118
0,-12.6593,-9.1118
0,-12.4593,-9.1118
0,-12.2593,-9.1118
0,-12.1593,-9.2118
0,-12.0593,-9.3118
0,-11.8593,-9.3118
0,-11.6593,-9.3118
0,-11.4593,-9.3118
0,-11.2593,-9.3118
0,-11.1593,-9.4118
0,-11.0593,-9.5118
