label,stroke,point,x,y,pen
HELLO 123,7,58,-9.88368,0.81227,1
HELLO 123,7,59,-9.84868,0.77125,1
HELLO 123,7,60,-9.81200,0.73428,1
HELLO 123,7,61,-9.77380,0.70152,1
HELLO 123,7,62,-9.73428,0.67314,1
HELLO 123,7,63,-9.69363,0.64928,1
HELLO 123,7,64,-9.65204,0.63004,1
HELLO 123,7,65,-9.60973,0.61554,1
HELLO 123,7,66,-9.56689,0.60583,1
HELLO 123,7,67,-9.52374,0.60096,1
HELLO 123,7,68,-9.48047,0.60096,1
HELLO 123,7,69,-9.43732,0.60583,1
HELLO 123,7,70,-9.39448,0.61554,1
HELLO 123,7,71,-9.35217,0.63004,1
HELLO 123,7,72,-9.31058,0.64928,1
HELLO 123,7,73,-9.26993,0.67314,1
HELLO 123,7,74,-9.23041,0.70152,1
HELLO 123,7,75,-9.19221,0.73428,1
HELLO 123,7,76,-9.15553,0.77125,1
HELLO 123,7,77,-9.12053,0.81227,1
HELLO 123,7,78,-9.08739,0.85712,1
HELLO 123,7,79,-9.05627,0.90559,1
HELLO 123,7,80,-9.02732,0.95744,1
HELLO 123,7,81,-9.00069,1.01242,1
HELLO 123,7,82,-8.97650,1.07027,1
HELLO 123,7,83,-8.95487,1.13069,1
HELLO 123,7,84,-8.93591,1.19341,1
HELLO 123,7,85,-8.91970,1.25810,1
HELLO 123,7,86,-8.90633,1.32446,1
HELLO 123,7,87,-8.89587,1.39216,1
HELLO 123,7,88,-8.88835,1.46088,1
HELLO 123,7,89,-8.88383,1.53027,1
HELLO 123,7,90,-8.88232,1.60000,1
HELLO 123,8,0,-7.40284,2.19979,0
HELLO 123,8,1,-7.20291,2.39972,1
HELLO 123,8,2,-7.00298,2.59965,1
HELLO 123,8,3,-7.00298,2.26643,1
HELLO 123,8,4,-7.00298,1.93322,1
HELLO 123,8,5,-7.00298,1.60000,1
HELLO 123,8,6,-7.00298,1.26678,1
HELLO 123,8,7,-7.00298,0.93357,1
HELLO 123,8,8,-7.00298,0.60035,1
HELLO 123,9,0,-7.44283,0.60035,0
HELLO 123,9,1,-7.16293,0.60035,1
HELLO 123,9,2,-6.88302,0.60035,1
HELLO 123,9,3,-6.60312,0.60035,1
HELLO 123,10,0,-6.26324,2.15980,0
HELLO 123,10,1,-6.26060,2.20915,1
HELLO 123,10,2,-6.25289,2.25539,1
HELLO 123,10,3,-6.24045,2.29849,1
HELLO 123,10,4,-6.22362,2.33844,1
HELLO 123,10,5,-6.20273,2.37522,1
HELLO 123,10,6,-6.17810,2.40879,1
HELLO 123,10,7,-6.15008,2.43914,1
HELLO 123,10,8,-6.11900,2.46624,1
HELLO 123,10,9,-6.08520,2.49007,1
HELLO 123,10,10,-6.04900,2.51061,1
HELLO 123,10,11,-6.01074,2.52782,1
HELLO 123,10,12,-5.97075,2.54170,1
HELLO 123,10,13,-5.92937,2.55221,1
HELLO 123,10,14,-5.88694,2.55933,1
HELLO 123,10,15,-5.84378,2.56304,1
HELLO 123,10,16,-5.80023,2.56332,1
