step,base_rotation,control_arm_a,main_arm,turn_base_rotation,turn_control_arm_a,turn_main_arm,tool_tip_x,tool_tip_y,tool_tip_z,leg
59,31.429566,143.586230,216.413770,-3.977300,4.121742,-2.630393,-18.000000,-11.000000,0.000000,5
60,30.068583,138.734691,223.594235,-1.360983,-4.851539,7.180465,-17.100000,-9.900000,-0.300000,6
61,28.511246,134.814252,230.299631,-1.557337,-3.920439,6.705396,-16.200000,-8.800000,-0.600000,6
62,26.714648,131.695048,236.792819,-1.796598,-3.119205,6.493188,-15.300000,-7.700000,-0.900000,6
63,24.623565,129.364180,243.269266,-2.091083,-2.330867,6.476447,-14.400000,-6.600000,-1.200000,6
64,22.166346,127.894551,249.908046,-2.457219,-1.469629,6.638780,-13.500000,-5.500000,-1.500000,6
65,19.249526,127.441622,256.899296,-2.916820,-0.452929,6.991251,-12.600000,-4.400000,-1.800000,6
66,15.751174,128.249109,264.458527,-3.498352,0.807486,7.559230,-11.700000,-3.300000,-2.100000,6
67,11.513831,130.642252,272.817469,-4.237342,2.393143,8.358942,-10.800000,-2.200000,-2.400000,6
68,6.340192,134.961120,282.153673,-5.173639,4.318869,9.336204,-9.900000,-1.100000,-2.700000,6
69,0.000000,141.347410,292.392385,-6.340192,6.386289,10.238713,-9.000000,-0.000000,-3.000000,6
70,3.613881,141.376473,289.230625,3.613881,0.029063,-3.161760,-9.500000,-0.600000,-3.200000,7
71,6.842773,141.613200,286.061099,3.228893,0.236727,-3.169526,-10.000000,-1.200000,-3.400000,7
72,9.727579,142.068395,282.910472,2.884805,0.455195,-3.150628,-10.500000,-1.800000,-3.600000,7
73,12.308016,142.739346,279.788517,2.580437,0.670951,-3.121955,-11.000000,-2.400000,-3.800000,7
74,14.620874,143.616933,276.694922,2.312858,0.877587,-3.093595,-11.500000,-3.000000,-4.000000,7
75,16.699244,144.689939,273.623470,2.078370,1.073006,-3.071452,-12.000000,-3.600000,-4.200000,7
76,18.572349,145.947558,270.564478,1.873104,1.257619,-3.058992,-12.500000,-4.200000,-4.400000,7
77,20.265697,147.380814,267.506099,1.693349,1.433255,-3.058378,-13.000000,-4.800000,-4.600000,7
78,21.801409,148.983382,264.434903,1.535712,1.602568,-3.071196,-13.500000,-5.400000,-4.800000,7
79,23.198591,150.752141,261.335962,1.397181,1.768759,-3.098941,-14.000000,-6.000000,-5.000000,7
