label,stroke,point,x,y,pen
3,0,28,0.48219,0.64234,1
3,0,29,0.46741,0.61778,1
3,0,30,0.44999,0.59571,1
3,0,31,0.43000,0.57625,1
3,0,32,0.40751,0.55950,1
3,0,33,0.38259,0.54556,1
3,0,34,0.35531,0.53453,1
3,0,35,0.32574,0.52653,1
3,0,36,0.29395,0.52165,1
3,0,37,0.26000,0.52000,1
3,0,38,0.29156,0.51905,1
3,0,39,0.32212,0.51615,1
3,0,40,0.35144,0.51120,1
3,0,41,0.37932,0.50412,1
3,0,42,0.40556,0.49481,1
3,0,43,0.42992,0.48320,1
3,0,44,0.45220,0.46919,1
3,0,45,0.47220,0.45268,1
3,0,46,0.48968,0.43360,1
3,0,47,0.50444,0.41185,1
3,0,48,0.51628,0.38735,1
3,0,49,0.52496,0.36000,1
3,0,50,0.53028,0.32972,1
3,0,51,0.53204,0.29641,1
3,0,52,0.53000,0.26000,1
3,0,53,0.52462,0.22979,1
3,0,54,0.51615,0.20167,1
3,0,55,0.50482,0.17564,1
3,0,56,0.49088,0.15171,1
3,0,57,0.47456,0.12988,1
3,0,58,0.45609,0.11016,1
3,0,59,0.43573,0.09254,1
3,0,60,0.41370,0.07704,1
3,0,61,0.39025,0.06365,1
3,0,62,0.36562,0.05239,1
3,0,63,0.34004,0.04325,1
3,0,64,0.31375,0.03625,1
3,0,65,0.28699,0.03138,1
3,0,66,0.26001,0.02865,1
3,0,67,0.23303,0.02807,1
3,0,68,0.20630,0.02963,1
3,0,69,0.18005,0.03335,1
3,0,70,0.15453,0.03922,1
3,0,71,0.12997,0.04725,1
3,0,72,0.10662,0.05745,1
3,0,73,0.08471,0.06982,1
3,0,74,0.06447,0.08437,1
3,0,75,0.04616,0.10109,1
3,0,76,0.03000,0.12000,1
4,0,0,0.42000,0.00000,0
4,0,1,0.42000,1.00000,1
4,0,2,0.02000,0.30000,1
4,0,3,0.56000,0.30000,1
5,0,0,0.50000,1.00000,0
5,0,1,0.09000,1.00000,1
5,0,2,0.06000,0.60000,1
5,0,3,0.09008,0.61490,1
5,0,4,0.12024,0.62715,1
5,0,5,0.15033,0.63680,1
5,0,6,0.18023,0.64389,1
5,0,7,0.20980,0.64848,1
5,0,8,0.23891,0.65062,1
5,0,9,0.26741,0.65037,1
5,0,10,0.29519,0.64778,1
5,0,11,0.32209,0.64289,1
5,0,12,0.34799,0.63576,1
5,0,13,0.37276,0.62645,1
5,0,14,0.39625,0.61500,1
5,0,15,0.41834,0.60147,1
5,0,16,0.43888,0.58590,1
5,0,17,0.45775,0.56836,1
5,0,18,0.47481,0.54889,1
5,0,19,0.48993,0.52754,1
5,0,20,0.50297,0.50438,1
5,0,21,0.51379,0.47944,1
5,0,22,0.52227,0.45278,1
5,0,23,0.52826,0.42445,1
5,0,24,0.53164,0.39451,1
5,0,25,0.53226,0.36301,1
5,0,26,0.53000,0.33000,1
5,0,27,0.52600,0.29621,1
5,0,28,0.51896,0.26444,1
5,0,29,0.50910,0.23471,1
5,0,30,0.49662,0.20701,1
5,0,31,0.48176,0.18136,1
5,0,32,0.46473,0.15776,1
5,0,33,0.44574,0.13623,1
5,0,34,0.42503,0.11677,1
5,0,35,0.40280,0.09938,1
5,0,36,0.37928,0.08408,1
5,0,37,0.35468,0.07087,1
5,0,38,0.32923,0.05976,1
5,0,39,0.30314,0.05076,1
5,0,40,0.27663,0.04388,1
5,0,41,0.24992,0.03912,1
5,0,42,0.22323,0.03649,1
5,0,43,0.19678,0.03600,1
5,0,44,0.17078,0.03766,1
5,0,45,0.14546,0.04147,1
5,0,46,0.12104,0.04744,1
5,0,47,0.09773,0.05558,1
5,0,48,0.07575,0.06590,1
5,0,49,0.05532,0.07841,1
5,0,50,0.03667,0.09310,1
5,0,51,0.02000,0.11000,1
6,0,0,0.47000,0.93000,0
6,0,1,0.45143,0.94144,1
6,0,2,0.43278,0.95106,1
6,0,3,0.41412,0.95886,1
6,0,4,0.39546,0.96481,1
6,0,5,0.37685,0.96893,1
6,0,6,0.35833,0.97120,1
6,0,7,0.33993,0.97161,1
6,0,8,0.32170,0.97017,1
6,0,9,0.30367,0.96686,1
6,0,10,0.28588,0.96168,1
6,0,11,0.26836,0.95462,1
6,0,12,0.25116,0.94568,1
6,0,13,0.23432,0.93485,1
6,0,14,0.21787,0.92212,1
6,0,15,0.20185,0.90749,1
6,0,16,0.18630,0.89095,1
6,0,17,0.17125,0.87250,1
6,0,18,0.15675,0.85213,1
6,0,19,0.14283,0.82983,1
6,0,20,0.12954,0.80560,1
6,0,21,0.11690,0.77942,1
6,0,22,0.10496,0.75131,1
6,0,23,0.09376,0.72124,1
6,0,24,0.08333,0.68922,1
6,0,25,0.07371,0.65523,1
6,0,26,0.06494,0.61928,1
6,0,27,0.05707,0.58134,1
6,0,28,0.05011,0.54143,1
6,0,29,0.04413,0.49953,1
6,0,30,0.03914,0.45564,1
6,0,31,0.03520,0.40974,1
6,0,32,0.03234,0.36184,1
6,0,33,0.03059,0.31193,1
6,0,34,0.03000,0.26000,1
6,0,35,0.03214,0.22535,1
6,0,36,0.03853,0.19131,1
6,0,37,0.04904,0.15850,1
6,0,38,0.06350,0.12750,1
6,0,39,0.08165,0.09887,1
6,0,40,0.10315,0.07311,1
6,0,41,0.12764,0.05068,1
6,0,42,0.15466,0.03199,1
6,0,43,0.18374,0.01737,1
6,0,44,0.21436,0.00708,1
6,0,45,0.24598,0.00131,1
6,0,46,0.27802,0.00015,1
6,0,47,0.30992,0.00362,1
6,0,48,0.34111,0.01167,1
6,0,49,0.37102,0.02416,1
6,0,50,0.39914,0.04085,1
6,0,51,0.42495,0.06145,1
6,0,52,0.44800,0.08560,1
6,0,53,0.46787,0.11285,1
6,0,54,0.48420,0.14274,1
6,0,55,0.49672,0.17471,1
6,0,56,0.50519,0.20821,1
6,0,57,0.50946,0.24263,1
6,0,58,0.50946,0.27737,1
6,0,59,0.50519,0.31179,1
6,0,60,0.49672,0.34529,1
6,0,61,0.48420,0.37726,1
6,0,62,0.46787,0.40715,1
6,0,63,0.44800,0.43440,1
6,0,64,0.42495,0.45855,1
6,0,65,0.39914,0.47915,1
6,0,66,0.37102,0.49584,1
6,0,67,0.34111,0.50833,1
6,0,68,0.30992,0.51638,1
6,0,69,0.27802,0.51985,1
6,0,70,0.24598,0.51869,1
6,0,71,0.21436,0.51292,1
6,0,72,0.18374,0.50263,1
6,0,73,0.15466,0.48801,1
6,0,74,0.12764,0.46932,1
6,0,75,0.10315,0.44689,1
6,0,76,0.08165,0.42113,1
6,0,77,0.06350,0.39250,1
6,0,78,0.04904,0.36150,1
6,0,79,0.03853,0.32869,1
6,0,80,0.03214,0.29465,1
6,0,81,0.03000,0.26000,1
7,0,0,0.02000,1.00000,0
7,0,1,0.54000,1.00000,1
7,0,2,0.19000,0.00000,1
8,0,0,0.27500,0.49000,0
8,0,1,0.30700,0.49238,1
8,0,2,0.33840,0.49946,1
8,0,3,0.36862,0.51111,1
8,0,4,0.39710,0.52712,1
8,0,5,0.42331,0.54719,1
8,0,6,0.44675,0.57095,1
8,0,7,0.46699,0.59795,1
8,0,8,0.48365,0.62768,1
8,0,9,0.49643,0.65961,1
8,0,10,0.50508,0.69312,1
8,0,11,0.50945,0.72760,1
8,0,12,0.50945,0.76240,1
8,0,13,0.50508,0.79688,1
8,0,14,0.49643,0.83039,1
8,0,15,0.48365,0.86232,1
8,0,16,0.46699,0.89205,1
8,0,17,0.44675,0.91905,1
8,0,18,0.42331,0.94281,1
8,0,19,0.39710,0.96288,1
8,0,20,0.36862,0.97889,1
8,0,21,0.33840,0.99054,1
8,0,22,0.30700,0.99762,1
8,0,23,0.27500,1.00000,1
8,0,24,0.24300,0.99762,1
8,0,25,0.21160,0.99054,1
8,0,26,0.18138,0.97889,1
8,0,27,0.15290,0.96288,1
8,0,28,0.12669,0.94281,1
8,0,29,0.10325,0.91905,1
8,0,30,0.08301,0.89205,1
8,0,31,0.06635,0.86232,1
8,0,32,0.05357,0.83039,1
8,0,33,0.04492,0.79688,1
8,0,34,0.04055,0.76240,1
8,0,35,0.04055,0.72760,1
8,0,36,0.04492,0.69312,1
8,0,37,0.05357,0.65961,1
8,0,38,0.06635,0.62768,1
8,0,39,0.08301,0.59795,1
8,0,40,0.10325,0.57095,1
8,0,41,0.12669,0.54719,1
8,0,42,0.15290,0.52712,1
8,0,43,0.18138,0.51111,1
8,0,44,0.21160,0.49946,1
8,0,45,0.24300,0.49238,1
8,0,46,0.27500,0.49000,1
8,1,0,0.27500,0.49000,0
8,1,1,0.24053,0.48807,1
8,1,2,0.20661,0.48230,1
8,1,3,0.17377,0.47280,1
8,1,4,0.14252,0.45970,1
8,1,5,0.11336,0.44321,1
8,1,6,0.08675,0.42360,1
8,1,7,0.06311,0.40117,1
8,1,8,0.04281,0.37628,1
8,1,9,0.02617,0.34932,1
8,1,10,0.01346,0.32071,1
8,1,11,0.00487,0.29091,1
8,1,12,0.00054,0.26038,1
8,1,13,0.00054,0.22962,1
8,1,14,0.00487,0.19909,1
8,1,15,0.01346,0.16929,1
8,1,16,0.02617,0.14068,1
8,1,17,0.04281,0.11372,1
8,1,18,0.06311,0.08883,1
8,1,19,0.08675,0.06640,1
8,1,20,0.11336,0.04679,1
8,1,21,0.14252,0.03030,1
8,1,22,0.17377,0.01720,1
8,1,23,0.20661,0.00770,1
8,1,24,0.24053,0.00193,1
8,1,25,0.27500,0.00000,1
8,1,26,0.30947,0.00193,1
8,1,27,0.34339,0.00770,1
8,1,28,0.37623,0.01720,1
8,1,29,0.40748,0.03030,1
8,1,30,0.43664,0.04679,1
8,1,31,0.46325,0.06640,1
8,1,32,0.48689,0.08883,1
8,1,33,0.50719,0.11372,1
8,1,34,0.52383,0.14068,1
8,1,35,0.53654,0.16929,1
8,1,36,0.54513,0.19909,1
8,1,37,0.54946,0.22962,1
8,1,38,0.54946,0.26038,1
8,1,39,0.54513,0.29091,1
8,1,40,0.53654,0.32071,1
8,1,41,0.52383,0.34932,1
8,1,42,0.50719,0.37628,1
8,1,43,0.48689,0.40117,1
8,1,44,0.46325,0.42360,1
8,1,45,0.43664,0.44321,1
8,1,46,0.40748,0.45970,1
8,1,47,0.37623,0.47280,1
8,1,48,0.34339,0.48230,1
8,1,49,0.30947,0.48807,1
8,1,50,0.27500,0.49000,1
9,0,0,0.07000,0.07000,0
9,0,1,0.08857,0.05856,1
9,0,2,0.10722,0.04894,1
9,0,3,0.12588,0.04114,1
9,0,4,0.14454,0.03519,1
9,0,5,0.16315,0.03107,1
9,0,6,0.18167,0.02880,1
9,0,7,0.20007,0.02839,1
9,0,8,0.21830,0.02983,1
9,0,9,0.23633,0.03314,1
9,0,10,0.25412,0.03832,1
9,0,11,0.27164,0.04538,1
9,0,12,0.28884,0.05432,1
9,0,13,0.30568,0.06515,1
9,0,14,0.32213,0.07788,1
9,0,15,0.33815,0.09251,1
9,0,16,0.35370,0.10905,1
9,0,17,0.36875,0.12750,1
9,0,18,0.38325,0.14787,1
9,0,19,0.39717,0.17017,1
9,0,20,0.41046,0.19440,1
9,0,21,0.42310,0.22058,1
9,0,22,0.43504,0.24869,1
9,0,23,0.44624,0.27876,1
9,0,24,0.45667,0.31078,1
9,0,25,0.46629,0.34477,1
9,0,26,0.47506,0.38072,1
9,0,27,0.48293,0.41866,1
9,0,28,0.48989,0.45857,1
9,0,29,0.49587,0.50047,1
9,0,30,0.50086,0.54436,1
9,0,31,0.50480,0.59026,1
9,0,32,0.50766,0.63816,1
9,0,33,0.50941,0.68807,1
9,0,34,0.51000,0.74000,1
9,0,35,0.50786,0.77465,1
9,0,36,0.50147,0.80869,1
9,0,37,0.49096,0.84150,1
9,0,38,0.47650,0.87250,1
9,0,39,0.45835,0.90113,1
9,0,40,0.43685,0.92689,1
9,0,41,0.41236,0.94932,1
9,0,42,0.38534,0.96801,1
9,0,43,0.35626,0.98263,1
9,0,44,0.32564,0.99292,1
9,0,45,0.29402,0.99869,1
9,0,46,0.26198,0.99985,1
9,0,47,0.23008,0.99638,1
9,0,48,0.19889,0.98833,1
9,0,49,0.16898,0.97584,1
9,0,50,0.14086,0.95915,1
9,0,51,0.11505,0.93855,1
9,0,52,0.09200,0.91440,1
9,0,53,0.07213,0.88715,1
9,0,54,0.05580,0.85726,1
9,0,55,0.04328,0.82529,1
9,0,56,0.03481,0.79179,1
9,0,57,0.03054,0.75737,1
9,0,58,0.03054,0.72263,1
9,0,59,0.03481,0.68821,1
9,0,60,0.04328,0.65471,1
9,0,61,0.05580,0.62274,1
9,0,62,0.07213,0.59285,1
9,0,63,0.09200,0.56560,1
9,0,64,0.11505,0.54145,1
9,0,65,0.14086,0.52085,1
9,0,66,0.16898,0.50416,1
9,0,67,0.19889,0.49167,1
9,0,68,0.23008,0.48362,1
9,0,69,0.26198,0.48015,1
9,0,70,0.29402,0.48131,1
9,0,71,0.32564,0.48708,1
9,0,72,0.35626,0.49737,1
9,0,73,0.38534,0.51199,1
9,0,74,0.41236,0.53068,1
9,0,75,0.43685,0.55311,1
9,0,76,0.45835,0.57887,1
9,0,77,0.47650,0.60750,1
9,0,78,0.49096,0.63850,1
9,0,79,0.50147,0.67131,1
9,0,80,0.50786,0.70535,1
9,0,81,0.51000,0.74000,1
:,0,0,0.09000,0.62000,0
:,0,1,0.15000,0.62000,1
:,1,0,0.09000,0.00000,0
:,1,1,0.15000,0.00000,1
=,0,0,0.04000,0.58000,0
=,0,1,0.42000,0.58000,1
=,1,0,0.04000,0.34000,0
=,1,1,0.42000,0.34000,1
?,0,0,0.05000,0.75000,0
?,0,1,0.04953,0.77909,1
?,0,2,0.05175,0.80636,1
?,0,3,0.05649,0.83181,1
?,0,4,0.06355,0.85543,1
?,0,5,0.07278,0.87722,1
?,0,6,0.08397,0.89717,1
?,0,7,0.09696,0.91529,1
?,0,8,0.11156,0.93156,1
?,0,9,0.12760,0.94599,1
?,0,10,0.14490,0.95857,1
?,0,11,0.16327,0.96930,1
?,0,12,0.18254,0.97816,1
?,0,13,0.20253,0.98517,1
?,0,14,0.22305,0.99032,1
?,0,15,0.24394,0.99359,1
?,0,16,0.26500,0.99500,1
?,0,17,0.28606,0.99453,1
?,0,18,0.30695,0.99218,1
?,0,19,0.32747,0.98795,1
?,0,20,0.34746,0.98184,1
?,0,21,0.36673,0.97383,1
?,0,22,0.38510,0.96393,1
?,0,23,0.40240,0.95213,1
?,0,24,0.41844,0.93844,1
?,0,25,0.43304,0.92284,1
?,0,26,0.44603,0.90533,1
?,0,27,0.45722,0.88591,1
?,0,28,0.46645,0.86457,1
?,0,29,0.47351,0.84132,1
?,0,30,0.47825,0.81614,1
?,0,31,0.48047,0.78903,1
?,0,32,0.48000,0.76000,1
?,0,33,0.47507,0.72975,1
?,0,34,0.46719,0.70211,1
?,0,35,0.45676,0.67671,1
?,0,36,0.44417,0.65320,1
?,0,37,0.42981,0.63120,1
