loop,r,z
0,-3.2593,-7.7118
0,-3.1593,-7.6118
0,-3.0593,-7.5118
0,-2.9593,-7.4118
0,-2.8593,-7.3118
0,-2.6593,-7.3118
0,-2.5593,-7.2118
0,-2.4593,-7.1118
0,-2.3593,-7.0118
0,-2.2593,-6.9118
0,-2.1593,-6.8118
0,-2.0593,-6.7118
0,-1.8593,-6.7118
0,-1.7593,-6.6118
0,-1.6593,-6.5118
0,-1.5593,-6.4118
0,-1.4593,-6.3118
0,-1.3593,-6.2118
0,-1.2593,-6.1118
0,-1.1593,-6.0118
0,-1.0593,-5.9118
0,-0.9593,-5.8118
0,-0.8593,-5.7118
0,-0.7593,-5.6118
0,-0.6593,-5.5118
0,-0.5593,-5.4118
0,-0.4593,-5.3118
0,-0.3593,-5.2118
0,-0.3593,-5.0118
0,-0.2593,-4.9118
0,-0.1593,-4.8118
0,-0.0593,-4.7118
0,0.0407,-4.6118
0,0.1407,-4.5118
0,0.2407,-4.4118
0,0.2407,-4.2118
0,0.3407,-4.1118
0,0.4407,-4.0118
0,0.5407,-3.9118
0,0.6407,-3.8118
0,0.6407,-3.6118
0,0.7407,-3.5118
0,0.8407,-3.4118
0,0.9407,-3.3118
0,1.0407,-3.2118
0,1.0407,-3.0118
0,1.1407,-2.9118
0,1.2407,-2.8118
0,1.2407,-2.6118
0,1.2407,-2.4118
0,1.3407,-2.3118
0,1.4407,-2.2118
0,1.4407,-2.0118
0,1.5407,-1.9118
0,1.6407,-1.8118
0,1.6407,-1.6118
0,1.6407,-1.4118
0,1.6407,-1.2118
0,1.7407,-1.1118
0,1.8407,-1.0118
0,1.9407,-0.9118
0,2.0407,-0.8118
0,2.1407,-0.7118
0,2.2407,-0.6118
0,2.3407,-0.5118
0,2.4407,-0.4118
0,2.5407,-0.3118
0,2.6407,-0.2118
0,2.7407,-0.1118
0,2.8407,-0.0118
0,2.9407,0.0882
0,3.0407,0.1882
0,3.1407,0.2882
0,3.2407,0.3882
0,3.3407,0.4882
0,3.4407,0.5882
0,3.5407,0.6882
0,3.6407,0.7882
0,3.7407,0.8882
0,3.8407,0.9882
0,3.9407,1.0882
0,4.0407,1.1882
0,4.1407,1.2882
0,4.2407,1.3882
0,4.3407,1.4882
0,4.4407,1.5882
0,4.5407,1.6882
0,4.6407,1.7882
0,4.7407,1.8882
0,4.8407,1.9882
0,4.9407,2.0882
0,5.0407,2.1882
0,5.1407,2.2882
0,5.2407,2.3882
0,5.3407,2.4882
0,5.4407,2.5882
0,5.5407,2.6882
0,5.6407,2.7882
0,5.7407,2.8882
0,5.8407,2.9882
0,5.9407,3.0882
0,6.0407,3.1882
0,6.1407,3.2882
0,6.2407,3.3882
0,6.3407,3.4882
0,6.4407,3.5882
0,6.5407,3.6882
0,6.6407,3.7882
0,6.7407,3.8882
0,6.8407,3.9882
0,6.9407,4.0882
0,7.0407,4.1882
0,7.1407,4.2882
0,7.2407,4.3882
0,7.3407,4.4882
0,7.4407,4.5882
0,7.5407,4.6882
0,7.7407,4.6882
0,7.8407,4.7882
0,7.9407,4.8882
0,8.0407,4.9882
0,8.1407,5.0882
0,8.2407,5.1882
0,8.3407,5.2882
0,8.4407,5.3882
0,8.5407,5.4882
0,8.6407,5.5882
0,8.7407,5.6882
0,8.8407,5.7882
0,8.8407,5.9882
0,8.9407,6.0882
0,9.0407,6.1882
0,9.0407,6.3882
0,9.0407,6.5882
0,9.0407,6.7882
0,9.1407,6.8882
0,9.2407,6.9882
0,9.1407,7.0882
0,9.0407,7.1882
0,9.0407,7.3882
0,9.0407,7.5882
0,9.0407,7.7882
0,8.9407,7.8882
0,8.8407,7.9882
0,8.8407,8.1882
0,8.7407,8.2882
0,8.6407,8.3882
0,8.5407,8.4882
0,8.4407,8.5882
0,8.3407,8.6882
0,8.2407,8.7882
0,8.1407,8.8882
0,8.0407,8.9882
0,7.9407,9.0882
0,7.8407,9.1882
0,7.7407,9.2882
0,7.6407,9.3882
0,7.5407,9.4882
0,7.4407,9.5882
0,7.3407,9.6882
0,7.2407,9.7882
0,7.1407,9.8882
0,6.9407,9.8882
0,6.8407,9.9882
0,6.7407,10.0882
0,6.5407,10.0882
0,6.4407,10.1882
0,6.3407,10.2882
0,6.2407,10.3882
0,6.1407,10.4882
0,5.9407,10.4882
0,5.8407,10.5882
0,5.7407,10.6882
0,5.5407,10.6882
0,5.4407,10.7882
0,5.3407,10.8882
0,5.1407,10.8882
0,5.0407,10.9882
0,4.9407,11.0882
0,4.7407,11.0882
0,4.5407,11.0882
0,4.4407,11.1882
0,4.3407,11.2882
0,4.1407,11.2882
0,4.0407,11.3882
0,3.9407,11.4882
0,3.7407,11.4882
0,3.5407,11.4882
0,3.3407,11.4882
0,3.2407,11.5882
0,3.1407,11.6882
0,2.9407,11.6882
0,2.7407,11.6882
0,2.5407,11.6882
0,2.4407,11.7882
0,2.3407,11.8882
0,2.1407,11.8882
0,1.9407,11.8882
0,1.7407,11.8882
0,1.5407,11.8882
0,1.4407,11.9882
0,1.3407,12.0882
0,1.1407,12.0882
0,0.9407,12.0882
0,0.7407,12.0882
0,0.5407,12.0882
0,0.3407,12.0882
0,0.1407,12.0882
0,-0.0593,12.0882
0,-0.2593,12.0882
0,-0.4593,12.0882
0,-0.5593,12.1882
0,-0.6593,12.2882
0,-0.8593,12.2882
0,-1.0593,12.2882
0,-1.2593,12.2882
0,-1.4593,12.2882
0,-1.6593,12.2882
0,-1.8593,12.2882
0,-2.0593,12.2882
0,-2.2593,12.2882
0,-2.4593,12.2882
0,-2.6593,12.2882
0,-2.7593,12.3882
0,-2.8593,12.4882
0,-3.0593,12.4882
0,-3.2593,12.4882
0,-3.4593,12.4882
0,-3.6593,12.4882
0,-3.8593,12.4882
0,-4.0593,12.4882
0,-4.2593,12.4882
0,-4.4593,12.4882
0,-4.6593,12.4882
0,-4.8593,12.4882
0,-5.0593,12.4882
0,-5.1593,12.5882
0,-5.2593,12.6882
0,-5.4593,12.6882
0,-5.6593,12.6882
0,-5.8593,12.6882
0,-6.0593,12.6882
0,-6.2593,12.6882
0,-6.4593,12.6882
0,-6.6593,12.6882
0,-6.8593,12.6882
0,-7.0593,12.6882
0,-7.2593,12.6882
0,-7.3593,12.7882
0,-7.4593,12.8882
0,-7.6593,12.8882
0,-7.8593,12.8882
0,-8.0593,12.8882
0,-8.2593,12.8882
0,-8.4593,12.8882
0,-8.6593,12.8882
0,-8.8593,12.8882
0,-9.0593,12.8882
0,-9.2593,12.8882
0,-9.4593,12.8882
0,-9.6593,12.8882
0,-9.8593,12.8882
0,-10.0593,12.8882
0,-10.2593,12.8882
0,-10.4593,12.8882
0,-10.6593,12.8882
0,-10.8593,12.8882
0,-11.0593,12.8882
0,-11.2593,12.8882
0,-11.4593,12.8882
0,-11.6593,12.8882
0,-11.8593,12.8882
0,-12.0593,12.8882
0,-12.2593,12.8882
0,-12.4593,12.8882
0,-12.6593,12.8882
0,-12.8593,12.8882
0,-13.0593,12.8882
0,-13.2593,12.8882
0,-13.4593,12.8882
0,-13.6593,12.8882
0,-13.8593,12.8882
0,-14.0593,12.8882
0,-14.2593,12.8882
0,-14.4593,12.8882
0,-14.6593,12.8882
0,-14.8593,12.8882
0,-15.0593,12.8882
0,-15.2593,12.8882
0,-15.4593,12.8882
0,-15.6593,12.8882
0,-15.8593,12.8882
0,-16.0593,12.8882
0,-16.2593,12.8882
0,-16.4593,12.8882
0,-16.6593,12.8882
0,-16.7593,12.7882
0,-16.8593,12.6882
0,-17.0593,12.6882
0,-17.2593,12.6882
0,-17.4593,12.6882
0,-17.5593,12.5882
0,-17.6593,12.4882
0,-17.8593,12.4882
0,-18.0593,12.4882
0,-18.2593,12.4882
0,-18.3593,12.3882
0,-18.4593,12.2882
0,-18.6593,12.2882
0,-18.8593,12.2882
0,-19.0593,12.2882
0,-19.1593,12.1882
0,-19.2593,12.0882
0,-19.4593,12.0882
0,-19.5593,11.9882
0,-19.6593,11.8882
0,-19.8593,11.8882
0,-20.0593,11.8882
0,-20.1593,11.7882
0,-20.2593,11.6882
0,-20.4593,11.6882
0,-20.5593,11.5882
0,-20.6593,11.4882
0,-20.8593,11.4882
0,-20.9593,11.3882
0,-21.0593,11.2882
0,-21.2593,11.2882
0,-21.3593,11.1882
0,-21.4593,11.0882
0,-21.5593,10.9882
0,-21.6593,10.8882
0,-21.7593,10.7882
0,-21.8593,10.6882
0,-22.0593,10.6882
0,-22.1593,10.5882
0,-22.2593,10.4882
0,-22.3593,10.3882
0,-22.4593,10.2882
0,-22.6593,10.2882
0,-22.7593,10.1882
0,-22.8593,10.0882
0,-22.9593,9.9882
0,-23.0593,9.8882
0,-23.1593,9.7882
0,-23.2593,9.6882
0,-23.3593,9.5882
0,-23.4593,9.4882
0,-23.5593,9.3882
0,-23.6593,9.2882
0,-23.7593,9.1882
